seed,method,rmse,top1_regret,top1_hit_rate,ndcg,pairwise_log_loss
20260902,base_propensity,0.08851778353587084,0.04210713878273964,0.3568075117370892,0.9746770415804952,0.6373847908199133
20260902,fixed_propensity_peer_mean,0.0887193396063258,0.03968217223882675,0.36619718309859156,0.9759829327067294,0.6375234119950525
20260902,base_pairwise_ranker,,0.03811297565698624,0.3568075117370892,0.9775365318400019,0.20807545445631237
20260902,base_top_pairwise_ranker,,0.045133162289857864,0.3380281690140845,0.9719529293497207,0.27342147959769814
20260902,restricted_base_pairwise_ranker,,0.03811297565698624,0.3568075117370892,0.9769046071887,0.5254047112296666
20260902,propensity_neighborhood_ranker,,0.03844796493649483,0.3333333333333333,0.977917247622873,0.20462068534711814
20260902,propensity_top_pairwise_ranker,,0.043956074863672256,0.3333333333333333,0.9724105596520881,0.2567390937864643
20260902,embedding_neighborhood_ranker,,0.037869978696107864,0.36619718309859156,0.9772794333636161,0.21435468066734611
20260902,neighborhood_pairwise_ranker,,0.037105441093444824,0.36619718309859156,0.9776139298073462,0.21237392013604167
20260902,restricted_neighborhood_ranker,,0.037105441093444824,0.36619718309859156,0.9773391034043304,0.4622211055773732
20260902,restricted_propensity_top_ranker,,0.043956074863672256,0.3333333333333333,0.9747142779648813,0.5419613157015903
20260902,candidate_conditioned_propensity_ranker,,0.04219123348593712,0.3568075117370892,0.9747450543493432,0.5507143169820081
20260903,base_propensity,0.0847589031160009,0.03859418258070946,0.38028169014084506,0.9752399260260188,0.6368796056744259
20260903,fixed_propensity_peer_mean,0.08483662629338246,0.03765816614031792,0.38028169014084506,0.9755295606552088,0.637121560727784
20260903,base_pairwise_ranker,,0.03860203176736832,0.3474178403755869,0.9760537509325885,0.21438748463849192
20260903,base_top_pairwise_ranker,,0.04325998201966286,0.3145539906103286,0.9727990994559712,0.24409256191812648
20260903,restricted_base_pairwise_ranker,,0.038380444049835205,0.36619718309859156,0.9753075949564285,0.5757302455395942
20260903,propensity_neighborhood_ranker,,0.037302013486623764,0.37089201877934275,0.9769924374723958,0.20944395251013806
20260903,propensity_top_pairwise_ranker,,0.04245120659470558,0.36619718309859156,0.9728982643173388,0.23821819957024917
20260903,embedding_neighborhood_ranker,,0.03707639127969742,0.37089201877934275,0.9765489549275401,0.21277909848653684
20260903,neighborhood_pairwise_ranker,,0.03769085928797722,0.38028169014084506,0.9762954144001457,0.21483436727712182
20260903,restricted_neighborhood_ranker,,0.03701477870345116,0.38028169014084506,0.9756530098349787,0.6019635573387492
20260903,restricted_propensity_top_ranker,,0.03855947405099869,0.38028169014084506,0.9752938617868514,0.5991290341600185
20260903,candidate_conditioned_propensity_ranker,,0.03844241425395012,0.352112676056338,0.9755573176396676,0.5162546470824505
20260904,base_propensity,0.08294682672491274,0.03723228722810745,0.40375586854460094,0.9757938378432814,0.6368415343115629
20260904,fixed_propensity_peer_mean,0.08274908985180668,0.03592377528548241,0.40375586854460094,0.9765166893154352,0.6367762143626166
20260904,base_pairwise_ranker,,0.03775065764784813,0.3380281690140845,0.9773088899316462,0.2056907293150123
20260904,base_top_pairwise_ranker,,0.03635377064347267,0.4084507042253521,0.9752073547915292,0.24999516723207518
20260904,restricted_base_pairwise_ranker,,0.037193212658166885,0.36619718309859156,0.9764600794474061,0.5514932759033861
20260904,propensity_neighborhood_ranker,,0.037031661719083786,0.3474178403755869,0.9780097304319303,0.19935919998739107
20260904,propensity_top_pairwise_ranker,,0.040028396993875504,0.3615023474178404,0.9743730310722031,0.2435572697929576
20260904,embedding_neighborhood_ranker,,0.03521551191806793,0.4084507042253521,0.9779401781148451,0.2015101954041146
20260904,neighborhood_pairwise_ranker,,0.03449616581201553,0.39436619718309857,0.9781868392028219,0.2000312911072749
20260904,restricted_neighborhood_ranker,,0.03610178828239441,0.39906103286384975,0.9765971604245061,0.5842221878516575
20260904,restricted_propensity_top_ranker,,0.035152897238731384,0.4131455399061033,0.9767457178944957,0.5860647897430806
20260904,candidate_conditioned_propensity_ranker,,0.03652751445770264,0.39906103286384975,0.9764605205365082,0.7619724673471501
20260905,base_propensity,0.0909068022884611,0.038342010229825974,0.3755868544600939,0.9759029309209376,0.6380849457948498
20260905,fixed_propensity_peer_mean,0.09031154868508093,0.03875264152884483,0.3568075117370892,0.9762866841632855,0.6379444574917343
